codigo,etiqueta
9103,PARQUE DE BOTANICA AVES SILVESTRE ACUATICOS FAUNA Y OTROS
9101,SERVICIO DE BIBLIOTECA PUBLICA PERIFÃRICA JOSE BENTO MONTEYRO LOVATO  DE BREÃA
8430,BRINDA PENSIÃN A LOS AFILIADOS AL SISTEMA NACIONAL DE PENSIONES
8541,BRINDA SERVICIO DE FORMACION DE DEPORTISTAS EN DIVERSAS CATEGORIAS
8421,MINISTERIO DE RELACIONES EXTERIORES ACEQUIA DE COORPORACION PERUANA DE DESARROLLO INTERNACIONAL
4312,CONSTRUCTORA DE PREPARACION DE TERRENOS
4329,ORBITALELEODOR
4322,SERVICIOS Y MANTENIMIENTO DE ASENSORES Y AIRE ACONDFICIONADO
4540,VENTA Y ALQUILER DE MOTOS EN TIENDA
3811,SERVICIO DE RECOJO Y TRANSPORTE DE RESIDUOS SOLIDOS
3700,ALCANTARILLADO
4662,VENTA DE MINERALES POR MAYOR
4661,VENTA DE GAS PARA USO INDUSTRIAL
4653,VENTA DE EQUIPOS ECOLOGICOS ESPANTA PLAGAS
893,EXTRACCION Y VENTA DE SAL A NIVEL NACIONAL
810,CANTERAS DE MATERIAL Y AGREGADOS
1072,FABRICACION DE AZUCAR
1079,PRODUCCION ALIMENTOS
1073,ELABORACION DE CHOCOLATERIA IBERICA
1074,INDUSTRIA DE FIDEOS Y OTROS
1075,FABRICACION DE PAPILLAS
1040,PRODUCCION Y COMERCIALIZACION DE PALMA ACEITERA
130,VIVERO DANAIY
123,CULTIVO Y PROCESAMIENTO DE CITRICOS
122,PRODUCCION Y EXPORTACION DEL CULTIVO DE PALTO
220,ELABORACION ARTESANAL DEL CARBON EN EL MONTE
161,FUMIGACION Y RECUPERACION DE AREAS AGRICOLAS
149,CRIANZA Y VENTA DE CUYES
119,CULTIVO Y VENTA DE ALFALFA
116,PROCESAMIENTO DE ALGODON PARA SU EXPORTACION
620,EXTRACCION DE GAS NATURAL
2819,FABRICACION DE CONGELADORAS
2816,FABRICACION INSTALACION DE ASCENSORES
2790,FABRICADOR DE ELECTRODOS
2733,PRODUCCION Y DISTRIBUCION DE PRODUCTOS ELECTRICOS
2720,FABRICACIÃN DE BATERÃAS AUTOMOTRIZ E INDUSTRIAL
2710,FABRICACION Y VENTA DE TRANSFORMADORES ELECTRICOS
2620,FABRICACION DE TECNOLOGIA DE COMPUTO E IMPRESION
2593,FABRICACION DE PIEZAS
2513,FABRICACION Y VENTA DE TERNAS SOLARES Y PRODUCTOS QFINEW ENRGUA DEL SOL
2512,FABRICA DE TANQUES PARA AGUA
2393,FABRICACION Y VENTA DE CERAMICA
2431,SERVICIO DE FUNDICION DE METALURGICA
3315,SERVICIO INDUSTRIAL DE LA MARINA IQUITOS
3313,SERVICIOS DE MANTENIMIENTO DE EQUIPOS BIOMEDICOS
3520,FABRICACION DE GAS Y DISTRIBUCION POR TUBERIA
3100,FABRICACIÓN Y VENTA DE MUEBLE POR MENOR EN CARPINTERIA
3012,CONSTRUCCION DE LANCHAS
2930,FABRICACION DE FILTROS PARA AUTOMOVILES
2825,FABRICACION DE MOLINOS Y CHANCADORAS
2824,FABRICACION DE EQUIPOS PARA LA MINERIA
1392,FABRICACION Y VENTA DE TOLDOS AL POR MAYOR Y MENOR
1391,FABRICACIÓN Y VENTA DE ADORNOS EN MACRAME
1512,FABRICACION COMERCIALIZACIÃN Y DISTRIBUCIÃN DE CORREAS DE CUERO
1511,PROCESAMIENTO DE CUEROS
1104,COCA COLA (VENTA DE GASEOSAS) - CAMPOLI
1103,PRODUCCION DE CERVEZA
1312,FABRICACION DE TELAS
1102,ELABORACION Y VENTA DE VINOS PISCOS ARTESANAL
1080,PRODUCCION Y COMERCIALIZACION DE ALIMENTOS PARA ANIMALES
2029,PRODUCCIÃN COMERCIALIZACIÃN Y DISTRIBUCIÃN DE PRODUCTOS QUIMICOS
1520,EMPRESA DE FABRICACION DE CALZADOS
2022,FABRICACION Y VENTAS DE PINTURAS
2211,SERVICIO DE REENCAUCHE NEUMATICO
1709,FABRICACION Y VENTA DE UTILES ESCOLARES Y PAPELERIA
1702,PRODUCCION Y VENTA DE PAPELERIA EN GENERAL
1610,SERVICIO DE TRANSFORMACION DE MADERA EN TABLILLAS
1629,FABRICACION DE SUJETADORES PARA ARBOLES FRUTALES
2021,FABRICACION Y VENTA DE INSUMOS AGRICOLAS
2012,"FABRICACION DE ABONOS ORGANICOS,VENTA DE FERTILIZANTES Y CONSULTORIAS"
2011,SERVICIO DE ANALISIS QUIMICIO
1920,SERVICIO DE REFINACION Y VENTA DE HIDROCARBUROS
1910,PETROLEO DEL PERU SA
6399,SERVICIOS DE CORRECCIÓN DE MONOGRAFIAS Y TESIS
6611,VENTAS DE INFORMACION BURSAL
6530,ORGANISMO NACIONAL DE PENSIONES
6499,PRESTADOR DE SERVICIOS A VISANET
4911,SERVICIO DE TRANSPORTE  TREN ELECTRICO
4791,VENTAS ONLINE
4912,TRASLADO DE MINERAL POR FERROCARRILES Y TREN DE PASAJEROS
4782,VENTA AMBULATORIA DE PRENDAS DE VESTIR AL MENOR
4781,VENTA DE VERDURAS EN PUESTO DE MERCADO
4789,VENTA DE PRODUCTOS NORTEAMERICANOS EN FERIA
4742,VENTA POR MENOR DE CELULARES EN LOCAL
4721,VENTA DE PRODUCTOS VEGETALES
4763,VENTAS DE IMPLEMENTOS DE LINEA DEPORTIVA
4762,VENTA DE PELICULAS EN FORMATO DE DISCO COMPACTO EN ESTABLECIMIENTO FIJO DE GALERIA
5912,SERVICIO DE PRODUCCIÃN Y POSTPRODUCCION DE VIDEOS
5914,RECREACION AUDIOVISUAL CINE
5811,EDITORIAL DE LIBROS
5621,SERVICIO DE COCINA EN EVENTOS
5221,SERVICIOS DE EMBARQUE DE PASAJEROS DE TRANSPORTE TERRESTRE
5210,SERVICIO DE ALMACEN DE CONTENEDORES
5222,SERVICIO DE EMBARQUE Y DESEMBARQUE DE BIENES MINERALES Y CONTENEDORES
5224,AGENCIA DE CARGA INTERNACIONAL
5223,TRANSPORTE REGULAR POR VIA AEREA
5021,TRANSPORTES DE EMBARCACION FLUVIAL
5012,TRANPORTE DE CARGA VIA MARITIMA
5320,"SERVICIOS DE MENSAJERIA, COURIER"
5310,SERVICIO POSTAL
